New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,14214,,"2,990","1,775",635,180,65,335,"3,679","2,521",217,"1,865"
,14215,,"7,765","3,920","2,220",480,130,"1,015","8,532","5,101",537,"4,080"
,14216,,"4,000","2,610",710,300,125,255,"5,025","3,592",389,"2,790"
,14217,,"5,220","3,490",820,445,145,320,"6,613","4,772",587,"3,790"
,14221,,"13,450","10,400",850,"1,045",665,490,"19,952","16,269","1,568","11,515"
,14222,,"1,885","1,260",370,110,60,85,"2,573","1,946",151,"1,320"
,14223,,"5,335","3,730",695,410,210,290,"7,133","5,354",568,"4,000"
,14226,,"5,725","4,135",625,415,220,330,"8,063","6,271",599,"4,475"
,14228,,"3,820","2,650",505,300,125,240,"5,041","3,785",411,"2,875"
,14231,,760,105,135,5,5,510,750,167,11,195
,14240,,195,100,60,10,5,20,218,118,12,105
Corning,,,"26,640","17,415","4,600","1,770",925,"1,930","32,019","22,969","2,148","18,245"
,14437,,"2,530","1,670",465,155,70,170,"3,089","2,224",192,"1,705"
,14529,,40,35,0,0,5,0,56,49,0,35
,14560,,525,355,90,30,20,30,664,490,40,355
,14572,,"1,230",780,250,60,30,110,"1,456","1,023",77,795
,14801,,"1,200",765,220,85,45,85,"1,368",964,99,795
,14807,,745,520,105,55,25,40,930,694,71,555
,14808,,160,85,40,5,5,25,174,109,10,90
,14809,,620,400,110,40,25,45,706,500,41,420
,14810,,"3,355","2,085",650,225,85,310,"3,754","2,604",240,"2,180"
,14815,,255,180,40,15,5,15,315,243,20,180
,14819,,190,115,35,10,10,20,204,139,15,125
,14820,,140,75,25,15,10,15,159,94,18,85
,14821,,830,560,145,50,30,45,"1,029",755,58,565
,14823,,"1,020",690,155,60,45,70,"1,204",894,74,720
,14826,,490,315,100,25,20,30,561,388,30,320
,14827,,75,50,10,5,5,5,93,69,6,55
,14830,,"4,340","2,745",780,305,160,350,"5,427","3,811",392,"2,935"
,14839,,155,115,10,10,15,5,178,144,12,130
,14840,,"1,010",760,110,70,35,35,"1,362","1,070",90,780
,14843,,"3,025","1,935",545,215,95,235,"3,490","2,457",253,"2,020"
,14855,,155,110,10,15,10,10,185,140,16,125
,14856,,45,30,10,5,0,0,47,32,4,35
,14858,,355,220,60,20,25,30,428,302,24,240
,14870,,"2,320","1,650",305,175,85,105,"3,051","2,307",232,"1,780"
,14873,,605,395,125,30,15,40,703,499,31,400
,14874,,80,65,5,5,0,5,101,84,8,65
,14877,,135,90,15,10,10,10,139,102,10,90
,14879,,535,315,110,40,20,50,610,405,43,340
,14885,,170,100,30,10,10,20,181,119,15,115
,14898,,305,205,45,25,10,20,355,258,26,210
Dunkirk,,,"13,310","8,665","2,370",925,455,895,"16,074","11,489","1,181","9,055"
,14048,,"3,815","2,360",770,280,110,295,"4,410","3,076",340,"2,455"
,14062,,935,600,190,50,25,70,"1,121",789,61,590
,14063,,"2,755","1,875",420,200,105,155,"3,557","2,617",272,"1,970"
,14081,,655,420,105,50,20,60,787,559,57,450
,14135,,70,50,15,0,0,5,91,66,0,45
,14136,,"1,220",785,220,85,35,95,"1,477","1,036",110,840
,14166,,20,20,0,0,0,0,25,22,0,15
,14716,,600,370,115,45,30,40,695,478,57,400
,14718,,535,365,90,30,25,25,669,484,41,385
,14752,,100,80,10,5,0,5,122,100,5,80
,14769,,260,175,45,20,10,10,314,222,25,185
,14775,,660,390,135,55,35,45,754,485,71,420
,14784,,245,160,50,10,15,10,290,202,15,165
,14787,,"1,440","1,015",205,95,45,80,"1,762","1,353",123,"1,055"
Elmira,,,"28,885","18,585","5,375","1,875",910,"2,140","34,713","24,719","2,309","19,670"
,13734,,475,305,70,20,25,55,541,398,26,315
,14805,,265,180,45,15,10,15,325,238,19,185
,14812,,785,500,155,45,40,45,950,662,54,530
,14814,,505,385,45,30,25,20,697,566,40,415
,14816,,165,120,25,10,5,5,216,163,16,125
,14818,,470,340,65,35,15,15,600,461,38,355
,14824,,170,105,45,10,0,10,198,135,11,115
,14825,,225,140,40,15,5,25,274,192,16,145
,14838,,470,295,90,30,15,40,543,377,36,295
,14841,,265,210,30,15,5,5,341,284,15,215
,14845,,"5,355","3,885",650,345,180,295,"6,954","5,372",462,"4,075"
,14859,,270,165,60,10,10,25,297,204,12,160
,14861,,390,250,85,25,10,20,478,327,34,275
,14863,,35,30,5,0,0,0,49,39,0,30
,14864,,315,195,70,20,15,15,365,249,26,210
,14865,,850,520,175,65,25,65,984,680,74,580
,14869,,310,200,55,25,10,20,373,256,29,215
,14871,,"1,320",975,155,85,55,50,"1,734","1,348",112,"1,025"
,14872,,165,105,35,10,5,10,187,130,12,105
,14876,,45,35,10,0,0,0,53,45,0,35
,14883,,905,585,155,65,30,70,"1,092",777,80,610
,14887,,50,40,0,5,5,0,62,50,7,40
,14889,,370,235,70,20,10,35,423,302,25,250
,14891,,"1,120",755,180,80,30,75,"1,372",996,96,800
,14892,,"1,950","1,225",365,135,75,150,"2,205","1,553",155,"1,335"
,14893,,40,35,5,0,0,0,47,41,0,30
,14894,,395,250,80,25,20,20,483,332,30,275
