ID,applyposition,Base,Annual,signing,expected,skillset,location
344,"APPLY NOW   Principal Data Scientist at Capital One in McLean, VA","Base Salary$139K","Annual Bonus$17K","Signing Bonus$10K","EXPECTED   $156K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, AWS, Relational Databases, Scala and more.","Jobs in McLean, VA"
345,"APPLY NOW   Lead Data Scientist at Target in Minneapolis, MN","Base Salary$123K","Annual Bonus$6K","Signing Bonus$9K","EXPECTED   $146K","You can learn valuable new skills like: Hadoop, Data Mining, Optimization, Big Data, Algorithms, Machine Learning and more.","Jobs in Minneapolis, MN"
346,"APPLY NOW   Sr Data Scientist at GE in San Ramon, CA","Base Salary$124K","Annual Bonus$16K","Signing Bonus$12K","EXPECTED   $141K","You can learn valuable new skills like: Hadoop, Optimization, Algorithms, Machine Learning, Management, Scala and more.","Jobs in San Ramon, CA"
347,"APPLY NOW   Sr Data Scientist at GE in San Ramon, CA","Base Salary$124K","Annual Bonus$16K","Signing Bonus$12K","EXPECTED   $141K","You can learn valuable new skills like: Hadoop, Optimization, Algorithms, Machine Learning, Management, Scala and more.","Jobs in San Ramon, CA"
348,"APPLY NOW   Data Analyst at Zillow in Seattle, WA","Base Salary$105K","Annual Bonus$0","Signing Bonus$18K","EXPECTED   $129K","You can learn valuable new skills like: Scalability, Data Mining, Optimization, Python, Data Science, MySQL and more.","Jobs in Seattle, WA"
349,"APPLY NOW   Data Scientist at Integral Ad Science in New York, NY","Base Salary$108K","Annual Bonus$0","Signing Bonus$13K","EXPECTED   $134K","You can learn valuable new skills like: Data Mining, Information Retrieval, Python, Matlab, and Data Science.","Jobs in New York, NY"
350,"APPLY NOW   Senior Data Scientist - Twin... at Unitedhealth Group in Boston, MA","Base Salary$115K","Annual Bonus$0","Signing Bonus$12K","EXPECTED   $115K","You can learn valuable new skills like: Distributed Systems, Hadoop, Big Data, Machine Learning, Scala, Deep Learning and more.","Jobs in Boston, MA"
351,"APPLY NOW   Director, Data Science at About.com in New York, NY","Base Salary$164K","Annual Bonus$25K","Signing Bonus$11K","EXPECTED   $189K","You can learn valuable new skills like: Management, Data Science, Strategy, and Natural Language Processing.","Jobs in New York, NY"
352,"APPLY NOW   Data Scientist at Amazon in Palo Alto, CA","Base Salary$124K","Annual Bonus$0","Signing Bonus$38K","EXPECTED   $146K","You can learn valuable new skills like: Machine Learning, Python, and Data Science.","Jobs in Palo Alto, CA"
353,"APPLY NOW   Lead Data Scientist - Telecom at Nielsen in San Francisco, CA","Base Salary$144K","Annual Bonus$19K","Signing Bonus$16K","EXPECTED   $163K","You can learn valuable new skills like: Big Data, Algorithms, Machine Learning, Automation, Data Science, Analytics and more.","Jobs in San Francisco, CA"
354,"APPLY NOW   Lead Data Scientist - Telecom at Nielsen in San Francisco, CA","Base Salary$144K","Annual Bonus$19K","Signing Bonus$16K","EXPECTED   $163K","You can learn valuable new skills like: Big Data, Algorithms, Machine Learning, Automation, Data Science, Analytics and more.","Jobs in San Francisco, CA"
355,"APPLY NOW   Principal AI/Data Scientist at Cross Creek Systems in San Jose, CA","Base Salary$131K","Annual Bonus$0","Signing Bonus$10K","EXPECTED   $131K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, Computer Vision, C++, Matlab and more.","Jobs in San Jose, CA"
356,"APPLY NOW   Principal AI/Data Scientist at Cross Creek Systems in San Jose, CA","Base Salary$131K","Annual Bonus$0","Signing Bonus$10K","EXPECTED   $131K","You can learn valuable new skills like: Hadoop, Big Data, Machine Learning, Computer Vision, C++, Matlab and more.","Jobs in San Jose, CA"
